Name,Math,Physics,Chemistry,Attendance,Total,Average,Percentage
Aarav,88,76,91,92,255,85.0,85.0
Diya,95,89,94,98,278,92.66666666666667,92.66666666666666
Rohan,45,52,48,68,145,48.333333333333336,48.333333333333336
Sneha,78,81,74,85,233,77.66666666666667,77.66666666666666
Karthik,62,58,66,72,186,62.0,62.0
Meera,91,95,89,97,275,91.66666666666667,91.66666666666666
Aditya,39,44,41,60,124,41.333333333333336,41.333333333333336
Nisha,84,79,88,90,251,83.66666666666667,83.66666666666667
Varun,55,61,57,75,173,57.666666666666664,57.666666666666664
Pooja,73,69,80,82,222,74.0,74.0
Rahul,67,72,64,78,203,67.66666666666667,67.66666666666666
Ananya,98,96,99,99,293,97.66666666666667,97.66666666666667
Vikram,49,53,46,65,148,49.333333333333336,49.333333333333336
Ishita,87,85,90,93,262,87.33333333333333,87.33333333333333
Arjun,58,62,55,70,175,58.333333333333336,58.333333333333336
